Month,Revenue,Cost_of_Goods_Sold,Gross_Profit,Operating_Expenses,Operating_Profit,Tax,Net_Profit
2023-01,64546095.01,43984328.55,20561766.46,11434042.46,9127724.0,1825544.8,7302179.2
2023-02,62860879.64,43181301.38,19679578.25,11288955.2,8390623.06,1678124.61,6712498.45
2023-03,70248528.17,49356807.66,20891720.51,12388274.49,8503446.02,1700689.2,6802756.81
2023-04,75667937.97,53289640.13,22378297.84,11646251.25,10732046.59,2146409.32,8585637.27
2023-05,76973755.89,55298763.82,21674992.07,12337707.53,9337284.54,1867456.91,7469827.63
2023-06,79494313.7,56307884.61,23186429.08,12613473.85,10572955.24,2114591.05,8458364.19
2023-07,82393033.33,57126763.25,25266270.08,14669169.05,10597101.03,2119420.21,8477680.82
2023-08,83694310.26,58174467.92,25519842.34,13217194.77,12302647.57,2460529.51,9842118.06
2023-09,77913256.41,54221474.79,23691781.62,11913520.21,11778261.41,2355652.28,9422609.13
2023-10,71472468.13,51021328.99,20451139.13,11268342.06,9182797.08,1836559.42,7346237.66
2023-11,67908470.7,46786787.1,21121683.6,11325004.92,9796678.68,1959335.74,7837342.94
2023-12,91996640.0,63884626.48,28112013.52,14715059.14,13396954.38,2679390.88,10717563.51
2024-01,72268299.54,49469223.39,22799076.15,11043556.99,11755519.16,2351103.83,9404415.32
2024-02,74179510.76,52830644.41,21348866.36,11870927.06,9477939.29,1895587.86,7582351.44
2024-03,76478466.42,54342752.4,22135714.01,11879872.15,10255841.87,2051168.37,8204673.49
2024-04,80617529.11,57344227.74,23273301.37,12509137.7,10764163.67,2152832.73,8611330.93
2024-05,87573466.82,61212855.84,26360610.98,14214450.6,12146160.37,2429232.07,9716928.3
2024-06,88528522.91,61677768.67,26850754.24,15112589.97,11738164.26,2347632.85,9390531.41
2024-07,93653955.4,65641036.0,28012919.39,14212771.31,13800148.08,2760029.62,11040118.47
2024-08,90745489.45,61986635.15,28758854.31,15697204.98,13061649.33,2612329.87,10449319.46
2024-09,85511162.53,58271210.5,27239952.03,13620012.97,13619939.06,2723987.81,10895951.25
2024-10,81387774.72,58446244.25,22941530.47,14446272.66,8495257.81,1699051.56,6796206.25
2024-11,79563151.42,54456816.75,25106334.67,12611974.88,12494359.79,2498871.96,9995487.83
2024-12,101071142.73,68882212.98,32188929.75,15208611.28,16980318.46,3396063.69,13584254.77
